geom,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
"POINT (75.9570722403652 30.8503598561702)","9",Airport,small,Sahnewal,LUH,terminal,VILD,LUH,http://en.wikipedia.org/wiki/Sahnewal_Airport,8.000,,Q7399709,,,,Sahnewal Airport,,,,सहेनवाल हवाई अड्डा,,,,,,,,,,Ludhiana Airport,,,,"4","1159113785"
"POINT (75.9330597710755 17.625415183635)","9",Airport,mid,Solapur,SSE,terminal,VASL,SSE,http://en.wikipedia.org/wiki/Solapur_Airport,8.000,,Q7555807,,,,Solapur Airport,,,,शोलापुर विमानक्षेत्र,,,,ソーラープル空港,,,,,,,,,,"4","1159113803"
"POINT (85.3235970368767 23.3177245989962)","9",Airport,mid,Birsa Munda,IXR,terminal,VERC,IXR,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,8.000,,Q598231,,বিরসা মুন্ডা বিমানবন্দর,,Birsa Munda Airport,Aeropuerto Birsa Munda,,,बिरसा मुंडा हवाई-अड्डा,,,,ビルサ・ムンダ空港,,,Port lotniczy Ranchi,,,M. O. Ranchi,,Sân bay Birsa Munda,蘭契,"4","1159113831"
"POINT (48.7471065435931 31.3431585560757)","9",Airport,mid,Ahwaz,AWZ,terminal,OIAW,AWZ,http://en.wikipedia.org/wiki/Ahwaz_Airport,8.000,,Q622296,مطار الأحواز الدولي,,,Ahwaz International Airport,Aeropuerto Internacional de Ahvaz,Aéroport d'Ahvaz,,,,Bandar Udara Internasional Ahwaz,,アフヴァーズ空港,,Ahwaz Airport,Port lotniczy Ahwaz,,,Ahwaz International Airport,Ahvaz Havalimanı,Sân bay Ahvaz,阿瓦士,"4","1159113845"
"POINT (78.2172186546348 26.285487697937)","9",Airport,mid and military,Gwalior,GWL,terminal,VIGR,GWL,http://en.wikipedia.org/wiki/Gwalior_Airport,8.000,,Q2247561,,,,Gwalior Airport,,,,ग्वालियर विमानक्षेत्र,,,,グワーリヤル空港,,,Port lotniczy Gwalior,,,Gwalior Airport,,Sân bay Gwalior,瓜廖爾,"4","1159113863"
"POINT (42.97109630194 14.7552534413725)","9",Airport,mid,Hodeidah Int'l,HOD,terminal,OYHD,HOD,http://en.wikipedia.org/wiki/Hodeida_International_Airport,8.000,,Q2584014,مطار الحديدة الدولي,,,Hodeida International Airport,Aeropuerto Internacional de Hodeida,,,,,Bandar Udara Internasional Hodeida,,フダイダ国際空港,,,Port lotniczy Al-Hudajda,,,,,,荷台達國際機場,"4","1159113883"
"POINT (75.8092915005895 22.727749187571)","9",Airport,mid,Devi Ahilyabai Holkar Int'l,IDR,terminal,VAID,IDR,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,8.000,,Q1658243,,দেবী অহল্যা বাই হোলকার বিমানবন্দর,,Devi Ahilyabai Holkar Airport,Aeropuerto Devi Ahilyabai Holkar,,,देवी अहिल्याबाई होल्कर अंतर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Devi Ahilyabai Holkar,,デーヴィー・アヒリヤーバーイー・ホールカル国際空港,,,Port lotniczy Indore,,Ахилия Бай,Devi Ahilyabai Holkar International Airport,,Sân bay quốc tế Devi Ahilyabai Holkar,印多爾,"4","1159113903"
"POINT (73.8105674924689 19.9660205672806)","9",Airport,mid,Gandhinagar,ISK,ramp,VANR,ISK,http://en.wikipedia.org/wiki/Gandhinagar_Airport,8.000,,Q3274459,,,,Gandhinagar Airport,,,,,,,,,,,,,,,,,,"4","1159113917"
"POINT (76.8017261105242 30.6707248949667)","9",Airport,major and military,Chandigarh Int'l,IXC,terminal,VICG,IXC,http://en.wikipedia.org/wiki/Chandigarh_Airport,8.000,,Q1835533,,চণ্ডীগড় আন্তর্জাতিক বিমানবন্দর,,Chandigarh Airport,Aeropuerto de Chandigarh,,,चंडीगढ़ विमानक्षेत्र,,,,チャンディーガル空港,,,Port lotniczy Czandigarh,,,Chandigarh Airport,,,昌迪加爾機場,"4","1159113937"
"POINT (75.3958432922005 19.8672969621082)","9",Airport,mid,Aurangabad,IXU,terminal,VAAU,IXU,http://en.wikipedia.org/wiki/Aurangabad_Airport,8.000,,Q2903059,,,,Aurangabad Airport,,aéroport d'Aurangabad,,औरंगाबाद हवाई अड्डा,,,,チカルサーナ空港,,,Port lotniczy Aurangabad,,,Aurangabad Airport,,Sân bay Aurangabad,奧郎加巴德機場,"4","1159113953"
"POINT (72.9878190922305 31.3627435480862)","9",Airport,mid and military,Faisalabad Int'l,LYP,terminal,OPFA,LYP,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,8.000,,Q31580,,,,Faisalabad International Airport,Aeropuerto Internacional de Faisalabad,aéroport international de Faisalabad,,,,Bandar Udara Internasional Faisalabad,aeroporto internazionale di Faisalabad,ファイサラーバード,파이살라바드 국제공항,,Port lotniczy Fajsalabad,,Фейсалабад,,,Sân bay quốc tế Faisalabad,費薩拉巴德,"4","1159113971"
"POINT (73.3163595376585 54.9576482934059)","9",Airport,mid,Omsk Tsentralny,OMS,terminal,UNOO,OMS,http://en.wikipedia.org/wiki/Omsk_Tsentralny_Airport,8.000,,Q1432246,,,Flughafen Omsk,Omsk Tsentralny Airport,Aeropuerto de Omsk-Tsentralny,aéroport d'Omsk,,,,,Aeroporto di Omsk,オムスク中央空港,,Luchthaven Omsk,Port lotniczy Omsk,,Омск-Центральный,,Tsentralny Havalimanı,Sân bay Tsentralny,鄂木斯克,"4","1159113991"
"POINT (82.6671524525865 55.0095847136264)","9",Airport,mid,Novosibirsk Tolmachev,OVB,terminal,UNNT,OVB,http://en.wikipedia.org/wiki/Tolmachevo_Airport,8.000,,Q1328849,مطار نوفوسيبيرسك,,Flughafen Nowosibirsk-Tolmatschowo,Tolmachevo Airport,Aeropuerto Internacional de Novosibirsk-Tolmachevo,aéroport de Novossibirsk-Tolmachevo,,,,Bandar Udara Tolmachevo Novosibirsk,Aeroporto di Novosibirsk-Tolmačëvo,トルマチョーヴォ空港,톨마초보 국제공항,Luchthaven Tolmatsjovo,Port lotniczy Nowosybirsk-Tołmaczowo,Aeroporto Internacional Tolmachevo,Толмачёво,Tolmatjovo flygplats,,Sân bay Tolmachevo,托尔马切沃机场,"4","1159114013"
"POINT (35.3018728575279 47.8732635579023)","9",Airport,mid and military,Zaporozhye Int'l,OZH,runway,UKDE,OZH,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,8.000,,Q1432786,,,Flughafen Saporischschja,Zaporizhzhia International Airport,Aeropuerto Internacional de Zaporizhia-Mokre,aéroport international de Zaporijia,,,,,,ザポリージャ国際空港,,,Port lotniczy Zaporoże,,Запорожье,,Zaporijya Uluslararası Havalimanı,Sân bay quốc tế Zaporizhia,扎波羅熱國際機場,"4","1159114037"
"POINT (101.446569298441 0.464600872998505)","9",Airport,mid,Simpang Tiga,PKU,terminal,WIBB,PKU,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,8.000,,Q938233,,,Flughafen Sultan Syarif Kasim II,Sultan Syarif Kasim II Airport,,aéroport international Sultan Syarif Qasim II,,,,Bandar Udara Internasional Sultan Syarif Kasim II,,スルタン・シャリフ・カシムII国際空港,,,Port lotniczy Pekanbaru,,,Sultan Syarif Kasim II International Airport,,Sân bay quốc tế Sultan Syarif Qasim II,北乾巴魯,"4","1159114047"
"POINT (145.243980298582 14.1717712971216)","9",Airport,mid,Rota Int'l,ROP,terminal,PGRO,ROP,http://en.wikipedia.org/wiki/Rota_International_Airport,8.000,,Q1187633,,,,Rota International Airport,Aeropuerto Internacional de Rota,,,,,Bandar Udara Internasional Rota,,ロタ国際空港,로타 국제공항,,Port lotniczy Rota,,Рота,Rota International Airport,,Sân bay Quốc tế Rota,羅塔國際機場,"4","1159114063"
"POINT (73.4084964764375 61.3401672194481)","9",Airport,mid,Surgut,SGC,terminal,USRR,SGC,http://en.wikipedia.org/wiki/Surgut_Airport,8.000,,Q1432943,,,Flughafen Surgut,Surgut International Airport,Aeropuerto Internacional de Surgut,aéroport de Sourgout,,,,,Aeroporto di Surgut,スルグト空港,,Luchthaven Soergoet,Port lotniczy Surgut,,Сургут,,Surgut Havalimanı,,蘇爾古特國際機場,"4","1159114081"
"POINT (78.7089578747476 10.7603571306554)","9",Airport,mid,Tiruchirappalli,TRZ,terminal,VOTR,TRZ,http://en.wikipedia.org/wiki/Tiruchirappalli_Airport,8.000,,Q56935,,তিরুচিরাপল্লী আন্তর্জাতিক বিমানবন্দর,Flughafen Tiruchirapalli,Tiruchirapalli Airport,Aeropuerto Internacional de Tiruchirapalli,aéroport international de Trichy,,तिरुचिरापल्ली विमानक्षेत्र,,,aeroporto internazionale di Tiruchirapalli,ティルチラーパッリ空港,,,,,,Tiruchirappalli International Airport,,Sân bay quốc tế Tiruchirappalli,蒂魯吉拉帕利,"4","1159114099"
